8 Mile	A young rapper, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap harder than it may seem.
Awake	A wealthy young man undergoing heart transplant surgery discovers that the surgical team intend to murder him.
Dangerous Minds	An ex-Marine turned teacher struggles to connect with her students in an inner city school.
Ghost	After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.
Gone Baby Gone	Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.
Green Street	A wrongfully expelled Harvard undergrad moves to London, where he is introduced to the violent underworld of football hooliganism.
Inception	A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
Leon	Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered.
Man on Fire	In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.
Seven Pounds	A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.
