Cinderella	Although mistreated by her cruel stepmother and stepsisters, Cinderella is able to attend the royal ball through the help of a fairy godmother.
Earth Girls Are Easy	A Southern California girl befriends three furry aliens after their spaceship lands in her swimming pool.
School of Rock	After being kicked out of his rock band, Dewey Finn becomes a substitute teacher of an uptight elementary private school, only to try and turn his class into a rock band.
10 Things I Hate About You	A pretty, popular teenager can't go out on a date until her ill-tempered older sister does.
Kiki's Delivery Service		A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.
Stardust	In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.
Enchanted	A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen.
South Park	When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame.
Mean Girls	Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.
Up	78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.
